Branch ID,Date,PLU Key,Category key,Qty
B001,2024-01-01,1001,1,11
B001,2024-01-01,1002,1,23
B001,2024-01-01,1003,1,17
B001,2024-01-01,1004,1,13
B001,2024-01-01,1005,1,7
B001,2024-01-01,1006,1,20
B001,2024-01-01,1007,1,18
B001,2024-01-01,1008,1,23
B001,2024-01-01,1009,1,33
B001,2024-01-01,1010,1,19
B001,2024-01-01,1011,1,16
B001,2024-01-01,1012,1,17
B001,2024-01-01,1013,1,19
B001,2024-01-01,1014,1,21
B001,2024-01-01,1015,1,17
B001,2024-01-01,1016,1,26
B001,2024-01-01,1017,1,23
B001,2024-01-01,1018,1,48
B001,2024-01-01,2001,2,2
B001,2024-01-01,2002,2,2
B001,2024-01-01,2003,2,1
B001,2024-01-01,2004,2,2
B001,2024-01-01,2005,2,1
B001,2024-01-01,2006,2,2
B001,2024-01-01,2007,2,2
B001,2024-01-01,2008,2,1
B001,2024-01-01,2009,2,4
B001,2024-01-01,2010,2,3
B001,2024-01-01,2011,2,3
B001,2024-01-01,2012,2,1
B001,2024-01-01,3001,3,13
B001,2024-01-01,3002,3,11
B001,2024-01-01,3003,3,13
B001,2024-01-01,3004,3,14
B001,2024-01-01,3005,3,14
B001,2024-01-01,3006,3,17
B001,2024-01-01,3007,3,12
B001,2024-01-01,3008,3,16
B001,2024-01-01,3009,3,9
B001,2024-01-01,3010,3,7
B001,2024-01-01,4001,4,7
B001,2024-01-01,4002,4,6
B001,2024-01-01,4003,4,8
B001,2024-01-01,4004,4,3
B001,2024-01-01,4005,4,7
B001,2024-01-01,4006,4,3
B001,2024-01-01,5001,5,1
B001,2024-01-01,5002,5,1
B001,2024-01-01,5003,5,1
B001,2024-01-01,5004,5,2
B002,2024-01-01,1001,1,39
B002,2024-01-01,1002,1,25
B002,2024-01-01,1003,1,24
B002,2024-01-01,1004,1,21
B002,2024-01-01,1005,1,29
B002,2024-01-01,1006,1,17
B002,2024-01-01,1007,1,17
B002,2024-01-01,1008,1,15
B002,2024-01-01,1009,1,22
B002,2024-01-01,1010,1,19
B002,2024-01-01,1011,1,19
B002,2024-01-01,1012,1,14
B002,2024-01-01,1013,1,18
B002,2024-01-01,1014,1,26
B002,2024-01-01,1015,1,17
B002,2024-01-01,1016,1,26
B002,2024-01-01,1017,1,36
B002,2024-01-01,1018,1,21
B002,2024-01-01,2001,2,3
B002,2024-01-01,2002,2,2
B002,2024-01-01,2003,2,1
B002,2024-01-01,2004,2,2
B002,2024-01-01,2005,2,2
B002,2024-01-01,2006,2,1
B002,2024-01-01,2007,2,2
B002,2024-01-01,2008,2,2
B002,2024-01-01,2009,2,4
B002,2024-01-01,2010,2,3
B002,2024-01-01,2011,2,2
B002,2024-01-01,2012,2,2
B002,2024-01-01,3001,3,21
B002,2024-01-01,3002,3,13
B002,2024-01-01,3003,3,16
B002,2024-01-01,3004,3,8
B002,2024-01-01,3005,3,14
B002,2024-01-01,3006,3,23
B002,2024-01-01,3007,3,16
B002,2024-01-01,3008,3,14
B002,2024-01-01,3009,3,14
B002,2024-01-01,3010,3,12
B002,2024-01-01,4001,4,6
B002,2024-01-01,4002,4,7
B002,2024-01-01,4003,4,2
B002,2024-01-01,4004,4,7
B002,2024-01-01,4005,4,4
B002,2024-01-01,4006,4,4
B002,2024-01-01,5001,5,1
B002,2024-01-01,5002,5,1
B002,2024-01-01,5003,5,1
B002,2024-01-01,5004,5,1
B003,2024-01-01,1001,1,24
B003,2024-01-01,1002,1,44
B003,2024-01-01,1003,1,25
B003,2024-01-01,1004,1,17
B003,2024-01-01,1005,1,30
B003,2024-01-01,1006,1,21
B003,2024-01-01,1007,1,36
B003,2024-01-01,1008,1,26
B003,2024-01-01,1009,1,54
B003,2024-01-01,1010,1,25
B003,2024-01-01,1011,1,24
B003,2024-01-01,1012,1,11
B003,2024-01-01,1013,1,17
B003,2024-01-01,1014,1,30
B003,2024-01-01,1015,1,30
B003,2024-01-01,1016,1,48
B003,2024-01-01,1017,1,21
B003,2024-01-01,1018,1,36
B003,2024-01-01,2001,2,4
B003,2024-01-01,2002,2,2
B003,2024-01-01,2003,2,2
B003,2024-01-01,2004,2,4
B003,2024-01-01,2005,2,3
B003,2024-01-01,2006,2,2
B003,2024-01-01,2007,2,3
B003,2024-01-01,2008,2,3
B003,2024-01-01,2009,2,3
B003,2024-01-01,2010,2,4
B003,2024-01-01,2011,2,4
B003,2024-01-01,2012,2,1
B003,2024-01-01,3001,3,13
B003,2024-01-01,3002,3,12
B003,2024-01-01,3003,3,7
B003,2024-01-01,3004,3,16
B003,2024-01-01,3005,3,19
B003,2024-01-01,3006,3,23
B003,2024-01-01,3007,3,8
B003,2024-01-01,3008,3,9
B003,2024-01-01,3009,3,18
B003,2024-01-01,3010,3,13
B003,2024-01-01,4001,4,11
B003,2024-01-01,4002,4,7
B003,2024-01-01,4003,4,4
B003,2024-01-01,4004,4,8
B003,2024-01-01,4005,4,6
B003,2024-01-01,4006,4,5
B003,2024-01-01,5001,5,2
B003,2024-01-01,5002,5,1
B003,2024-01-01,5003,5,2
B003,2024-01-01,5004,5,2
B004,2024-01-01,1001,1,24
B004,2024-01-01,1002,1,24
B004,2024-01-01,1003,1,20
B004,2024-01-01,1004,1,14
B004,2024-01-01,1005,1,20
B004,2024-01-01,1006,1,8
B004,2024-01-01,1007,1,10
B004,2024-01-01,1008,1,14
B004,2024-01-01,1009,1,29
B004,2024-01-01,1010,1,18
B004,2024-01-01,1011,1,16
B004,2024-01-01,1012,1,14
B004,2024-01-01,1013,1,11
B004,2024-01-01,1014,1,19
B004,2024-01-01,1015,1,19
B004,2024-01-01,1016,1,17
B004,2024-01-01,1017,1,26
B004,2024-01-01,1018,1,19
B004,2024-01-01,2001,2,1
B004,2024-01-01,2002,2,2
B004,2024-01-01,2003,2,2
B004,2024-01-01,2004,2,2
B004,2024-01-01,2005,2,1
B004,2024-01-01,2006,2,1
B004,2024-01-01,2007,2,2
B004,2024-01-01,2008,2,1
B004,2024-01-01,2009,2,3
B004,2024-01-01,2010,2,2
B004,2024-01-01,2011,2,2
B004,2024-01-01,2012,2,1
B004,2024-01-01,3001,3,11
B004,2024-01-01,3002,3,11
B004,2024-01-01,3003,3,11
B004,2024-01-01,3004,3,12
B004,2024-01-01,3005,3,12
B004,2024-01-01,3006,3,21
B004,2024-01-01,3007,3,6
B004,2024-01-01,3008,3,10
B004,2024-01-01,3009,3,13
B004,2024-01-01,3010,3,13
B004,2024-01-01,4001,4,7
B004,2024-01-01,4002,4,7
B004,2024-01-01,4003,4,3
B004,2024-01-01,4004,4,5
B004,2024-01-01,4005,4,8
B004,2024-01-01,4006,4,8
B004,2024-01-01,5001,5,1
B004,2024-01-01,5002,5,2
B004,2024-01-01,5003,5,1
B004,2024-01-01,5004,5,2
B005,2024-01-01,1001,1,20
B005,2024-01-01,1002,1,17
B005,2024-01-01,1003,1,17
B005,2024-01-01,1004,1,22
B005,2024-01-01,1005,1,10
B005,2024-01-01,1006,1,10
B005,2024-01-01,1007,1,14
B005,2024-01-01,1008,1,15
B005,2024-01-01,1009,1,17
B005,2024-01-01,1010,1,6
B005,2024-01-01,1011,1,13
B005,2024-01-01,1012,1,9
B005,2024-01-01,1013,1,6
B005,2024-01-01,1014,1,8
B005,2024-01-01,1015,1,14
B005,2024-01-01,1016,1,13
B005,2024-01-01,1017,1,17
B005,2024-01-01,1018,1,25
B005,2024-01-01,2001,2,2
B005,2024-01-01,2002,2,1
B005,2024-01-01,2003,2,2
B005,2024-01-01,2004,2,1
B005,2024-01-01,2005,2,1
B005,2024-01-01,2006,2,1
B005,2024-01-01,2007,2,1
B005,2024-01-01,2008,2,1
B005,2024-01-01,2009,2,1
B005,2024-01-01,2010,2,1
B005,2024-01-01,2011,2,3
B005,2024-01-01,2012,2,1
B005,2024-01-01,3001,3,10
B005,2024-01-01,3002,3,7
B005,2024-01-01,3003,3,9
B005,2024-01-01,3004,3,8
B005,2024-01-01,3005,3,7
B005,2024-01-01,3006,3,12
B005,2024-01-01,3007,3,8
B005,2024-01-01,3008,3,13
B005,2024-01-01,3009,3,14
B005,2024-01-01,3010,3,5
B005,2024-01-01,4001,4,6
B005,2024-01-01,4002,4,6
B005,2024-01-01,4003,4,4
B005,2024-01-01,4004,4,3
B005,2024-01-01,4005,4,4
B005,2024-01-01,4006,4,3
B005,2024-01-01,5001,5,1
B005,2024-01-01,5002,5,1
B005,2024-01-01,5003,5,1
B005,2024-01-01,5004,5,2
B006,2024-01-01,1001,1,10
B006,2024-01-01,1002,1,21
B006,2024-01-01,1003,1,19
B006,2024-01-01,1004,1,7
B006,2024-01-01,1005,1,19
B006,2024-01-01,1006,1,6
B006,2024-01-01,1007,1,16
B006,2024-01-01,1008,1,17
B006,2024-01-01,1009,1,24
B006,2024-01-01,1010,1,14
B006,2024-01-01,1011,1,18
B006,2024-01-01,1012,1,15
B006,2024-01-01,1013,1,14
B006,2024-01-01,1014,1,17
B006,2024-01-01,1015,1,17
B006,2024-01-01,1016,1,24
B006,2024-01-01,1017,1,21
B006,2024-01-01,1018,1,31
B006,2024-01-01,2001,2,2
B006,2024-01-01,2002,2,2
B006,2024-01-01,2003,2,1
B006,2024-01-01,2004,2,1
B006,2024-01-01,2005,2,2
B006,2024-01-01,2006,2,1
B006,2024-01-01,2007,2,1
B006,2024-01-01,2008,2,1
B006,2024-01-01,2009,2,2
B006,2024-01-01,2010,2,3
B006,2024-01-01,2011,2,2
B006,2024-01-01,2012,2,1
B006,2024-01-01,3001,3,13
B006,2024-01-01,3002,3,9
B006,2024-01-01,3003,3,11
B006,2024-01-01,3004,3,14
B006,2024-01-01,3005,3,7
B006,2024-01-01,3006,3,18
B006,2024-01-01,3007,3,10
B006,2024-01-01,3008,3,9
B006,2024-01-01,3009,3,11
B006,2024-01-01,3010,3,8
B006,2024-01-01,4001,4,5
B006,2024-01-01,4002,4,4
B006,2024-01-01,4003,4,3
B006,2024-01-01,4004,4,3
B006,2024-01-01,4005,4,4
B006,2024-01-01,4006,4,4
B006,2024-01-01,5001,5,1
B006,2024-01-01,5002,5,1
B006,2024-01-01,5003,5,0
B006,2024-01-01,5004,5,2
B001,2024-01-02,1001,1,24
B001,2024-01-02,1002,1,21
B001,2024-01-02,1003,1,19
B001,2024-01-02,1004,1,19
B001,2024-01-02,1005,1,21
B001,2024-01-02,1006,1,19
B001,2024-01-02,1007,1,25
B001,2024-01-02,1008,1,23
B001,2024-01-02,1009,1,29
B001,2024-01-02,1010,1,15
B001,2024-01-02,1011,1,17
B001,2024-01-02,1012,1,15
B001,2024-01-02,1013,1,9
B001,2024-01-02,1014,1,12
B001,2024-01-02,1015,1,17
B001,2024-01-02,1016,1,22
B001,2024-01-02,1017,1,30
B001,2024-01-02,1018,1,27
B001,2024-01-02,2001,2,2
B001,2024-01-02,2002,2,2
B001,2024-01-02,2003,2,1
B001,2024-01-02,2004,2,2
B001,2024-01-02,2005,2,1
B001,2024-01-02,2006,2,1
B001,2024-01-02,2007,2,2
B001,2024-01-02,2008,2,2
B001,2024-01-02,2009,2,3
B001,2024-01-02,2010,2,3
B001,2024-01-02,2011,2,3
B001,2024-01-02,2012,2,2
B001,2024-01-02,3001,3,10
B001,2024-01-02,3002,3,14
B001,2024-01-02,3003,3,11
B001,2024-01-02,3004,3,13
B001,2024-01-02,3005,3,4
B001,2024-01-02,3006,3,13
B001,2024-01-02,3007,3,10
B001,2024-01-02,3008,3,11
B001,2024-01-02,3009,3,11
B001,2024-01-02,3010,3,7
B001,2024-01-02,4001,4,8
B001,2024-01-02,4002,4,5
B001,2024-01-02,4003,4,4
B001,2024-01-02,4004,4,6
B001,2024-01-02,4005,4,4
B001,2024-01-02,4006,4,7
B001,2024-01-02,5001,5,1
B001,2024-01-02,5002,5,2
B001,2024-01-02,5003,5,1
B001,2024-01-02,5004,5,2
B002,2024-01-02,1001,1,29
B002,2024-01-02,1002,1,20
B002,2024-01-02,1003,1,26
B002,2024-01-02,1004,1,24
B002,2024-01-02,1005,1,18
B002,2024-01-02,1006,1,17
B002,2024-01-02,1007,1,18
B002,2024-01-02,1008,1,30
B002,2024-01-02,1009,1,41
B002,2024-01-02,1010,1,21
B002,2024-01-02,1011,1,23
B002,2024-01-02,1012,1,16
B002,2024-01-02,1013,1,15
B002,2024-01-02,1014,1,23
B002,2024-01-02,1015,1,16
B002,2024-01-02,1016,1,24
B002,2024-01-02,1017,1,27
B002,2024-01-02,1018,1,14
B002,2024-01-02,2001,2,3
B002,2024-01-02,2002,2,2
B002,2024-01-02,2003,2,1
B002,2024-01-02,2004,2,2
B002,2024-01-02,2005,2,1
B002,2024-01-02,2006,2,1
B002,2024-01-02,2007,2,1
B002,2024-01-02,2008,2,2
B002,2024-01-02,2009,2,3
B002,2024-01-02,2010,2,3
B002,2024-01-02,2011,2,1
B002,2024-01-02,2012,2,1
B002,2024-01-02,3001,3,13
B002,2024-01-02,3002,3,19
B002,2024-01-02,3003,3,8
B002,2024-01-02,3004,3,20
B002,2024-01-02,3005,3,13
B002,2024-01-02,3006,3,22
B002,2024-01-02,3007,3,9
B002,2024-01-02,3008,3,17
B002,2024-01-02,3009,3,13
B002,2024-01-02,3010,3,7
B002,2024-01-02,4001,4,6
B002,2024-01-02,4002,4,6
B002,2024-01-02,4003,4,7
B002,2024-01-02,4004,4,6
B002,2024-01-02,4005,4,5
B002,2024-01-02,4006,4,7
B002,2024-01-02,5001,5,1
B002,2024-01-02,5002,5,1
B002,2024-01-02,5003,5,1
B002,2024-01-02,5004,5,2
B003,2024-01-02,1001,1,34
B003,2024-01-02,1002,1,34
B003,2024-01-02,1003,1,23
B003,2024-01-02,1004,1,17
B003,2024-01-02,1005,1,25
B003,2024-01-02,1006,1,18
B003,2024-01-02,1007,1,34
B003,2024-01-02,1008,1,22
B003,2024-01-02,1009,1,44
B003,2024-01-02,1010,1,14
B003,2024-01-02,1011,1,24
B003,2024-01-02,1012,1,18
B003,2024-01-02,1013,1,25
B003,2024-01-02,1014,1,27
B003,2024-01-02,1015,1,36
B003,2024-01-02,1016,1,43
B003,2024-01-02,1017,1,37
B003,2024-01-02,1018,1,53
B003,2024-01-02,2001,2,3
B003,2024-01-02,2002,2,2
B003,2024-01-02,2003,2,2
B003,2024-01-02,2004,2,3
B003,2024-01-02,2005,2,2
B003,2024-01-02,2006,2,1
B003,2024-01-02,2007,2,3
B003,2024-01-02,2008,2,2
B003,2024-01-02,2009,2,3
B003,2024-01-02,2010,2,3
B003,2024-01-02,2011,2,2
B003,2024-01-02,2012,2,1
B003,2024-01-02,3001,3,20
B003,2024-01-02,3002,3,12
B003,2024-01-02,3003,3,16
B003,2024-01-02,3004,3,11
B003,2024-01-02,3005,3,13
B003,2024-01-02,3006,3,24
B003,2024-01-02,3007,3,9
B003,2024-01-02,3008,3,18
B003,2024-01-02,3009,3,15
B003,2024-01-02,3010,3,12
B003,2024-01-02,4001,4,8
B003,2024-01-02,4002,4,6
B003,2024-01-02,4003,4,9
B003,2024-01-02,4004,4,6
B003,2024-01-02,4005,4,4
B003,2024-01-02,4006,4,8
B003,2024-01-02,5001,5,2
B003,2024-01-02,5002,5,2
B003,2024-01-02,5003,5,1
B003,2024-01-02,5004,5,3
B004,2024-01-02,1001,1,13
B004,2024-01-02,1002,1,18
B004,2024-01-02,1003,1,18
B004,2024-01-02,1004,1,12
B004,2024-01-02,1005,1,20
B004,2024-01-02,1006,1,9
B004,2024-01-02,1007,1,21
B004,2024-01-02,1008,1,17
B004,2024-01-02,1009,1,21
B004,2024-01-02,1010,1,17
B004,2024-01-02,1011,1,14
B004,2024-01-02,1012,1,12
B004,2024-01-02,1013,1,19
B004,2024-01-02,1014,1,21
B004,2024-01-02,1015,1,20
B004,2024-01-02,1016,1,24
B004,2024-01-02,1017,1,18
B004,2024-01-02,1018,1,17
B004,2024-01-02,2001,2,2
B004,2024-01-02,2002,2,2
B004,2024-01-02,2003,2,2
B004,2024-01-02,2004,2,2
B004,2024-01-02,2005,2,2
B004,2024-01-02,2006,2,1
B004,2024-01-02,2007,2,1
B004,2024-01-02,2008,2,1
B004,2024-01-02,2009,2,4
B004,2024-01-02,2010,2,2
B004,2024-01-02,2011,2,3
B004,2024-01-02,2012,2,1
B004,2024-01-02,3001,3,8
B004,2024-01-02,3002,3,12
B004,2024-01-02,3003,3,12
B004,2024-01-02,3004,3,13
B004,2024-01-02,3005,3,11
B004,2024-01-02,3006,3,16
B004,2024-01-02,3007,3,10
B004,2024-01-02,3008,3,7
B004,2024-01-02,3009,3,16
B004,2024-01-02,3010,3,9
B004,2024-01-02,4001,4,5
B004,2024-01-02,4002,4,5
B004,2024-01-02,4003,4,3
B004,2024-01-02,4004,4,5
B004,2024-01-02,4005,4,6
B004,2024-01-02,4006,4,7
B004,2024-01-02,5001,5,1
B004,2024-01-02,5002,5,1
B004,2024-01-02,5003,5,1
B004,2024-01-02,5004,5,2
B005,2024-01-02,1001,1,14
B005,2024-01-02,1002,1,15
B005,2024-01-02,1003,1,12
B005,2024-01-02,1004,1,11
B005,2024-01-02,1005,1,12
B005,2024-01-02,1006,1,15
B005,2024-01-02,1007,1,10
B005,2024-01-02,1008,1,16
B005,2024-01-02,1009,1,11
B005,2024-01-02,1010,1,19
B005,2024-01-02,1011,1,9
B005,2024-01-02,1012,1,9
B005,2024-01-02,1013,1,11
B005,2024-01-02,1014,1,12
B005,2024-01-02,1015,1,13
B005,2024-01-02,1016,1,25
B005,2024-01-02,1017,1,16
B005,2024-01-02,1018,1,19
B005,2024-01-02,2001,2,2
B005,2024-01-02,2002,2,1
B005,2024-01-02,2003,2,1
B005,2024-01-02,2004,2,2
B005,2024-01-02,2005,2,1
B005,2024-01-02,2006,2,1
B005,2024-01-02,2007,2,1
B005,2024-01-02,2008,2,1
B005,2024-01-02,2009,2,2
B005,2024-01-02,2010,2,2
B005,2024-01-02,2011,2,2
B005,2024-01-02,2012,2,1
B005,2024-01-02,3001,3,7
B005,2024-01-02,3002,3,6
B005,2024-01-02,3003,3,10
B005,2024-01-02,3004,3,9
B005,2024-01-02,3005,3,3
B005,2024-01-02,3006,3,17
B005,2024-01-02,3007,3,7
B005,2024-01-02,3008,3,9
B005,2024-01-02,3009,3,8
B005,2024-01-02,3010,3,6
B005,2024-01-02,4001,4,3
B005,2024-01-02,4002,4,3
B005,2024-01-02,4003,4,4
B005,2024-01-02,4004,4,4
B005,2024-01-02,4005,4,3
B005,2024-01-02,4006,4,4
B005,2024-01-02,5001,5,1
B005,2024-01-02,5002,5,1
B005,2024-01-02,5003,5,1
B005,2024-01-02,5004,5,2
B006,2024-01-02,1001,1,17
B006,2024-01-02,1002,1,18
B006,2024-01-02,1003,1,13
B006,2024-01-02,1004,1,16
B006,2024-01-02,1005,1,17
B006,2024-01-02,1006,1,14
B006,2024-01-02,1007,1,20
B006,2024-01-02,1008,1,19
B006,2024-01-02,1009,1,17
B006,2024-01-02,1010,1,23
B006,2024-01-02,1011,1,12
B006,2024-01-02,1012,1,14
B006,2024-01-02,1013,1,10
B006,2024-01-02,1014,1,18
B006,2024-01-02,1015,1,22
B006,2024-01-02,1016,1,25
B006,2024-01-02,1017,1,28
B006,2024-01-02,1018,1,23
B006,2024-01-02,2001,2,3
B006,2024-01-02,2002,2,2
B006,2024-01-02,2003,2,2
B006,2024-01-02,2004,2,2
B006,2024-01-02,2005,2,2
B006,2024-01-02,2006,2,1
B006,2024-01-02,2007,2,2
B006,2024-01-02,2008,2,1
B006,2024-01-02,2009,2,3
B006,2024-01-02,2010,2,3
B006,2024-01-02,2011,2,2
B006,2024-01-02,2012,2,1
B006,2024-01-02,3001,3,13
B006,2024-01-02,3002,3,10
B006,2024-01-02,3003,3,10
B006,2024-01-02,3004,3,11
B006,2024-01-02,3005,3,12
B006,2024-01-02,3006,3,13
B006,2024-01-02,3007,3,9
B006,2024-01-02,3008,3,15
B006,2024-01-02,3009,3,9
B006,2024-01-02,3010,3,6
B006,2024-01-02,4001,4,2
B006,2024-01-02,4002,4,4
B006,2024-01-02,4003,4,2
B006,2024-01-02,4004,4,5
B006,2024-01-02,4005,4,7
B006,2024-01-02,4006,4,4
B006,2024-01-02,5001,5,1
B006,2024-01-02,5002,5,1
B006,2024-01-02,5003,5,1
B006,2024-01-02,5004,5,1
B001,2024-01-03,1001,1,19
B001,2024-01-03,1002,1,21
B001,2024-01-03,1003,1,15
B001,2024-01-03,1004,1,18
B001,2024-01-03,1005,1,18
B001,2024-01-03,1006,1,15
B001,2024-01-03,1007,1,25
B001,2024-01-03,1008,1,19
B001,2024-01-03,1009,1,17
B001,2024-01-03,1010,1,21
B001,2024-01-03,1011,1,18
