Branch ID,Date,PLU Key,Waste Units
B001,2024-01-01,1001,0
B001,2024-01-01,1002,0
B001,2024-01-01,1003,0
B001,2024-01-01,1004,0
B001,2024-01-01,1005,0
B001,2024-01-01,1006,0
B001,2024-01-01,1007,0
B001,2024-01-01,1008,0
B001,2024-01-01,1009,0
B001,2024-01-01,1010,0
B001,2024-01-01,1011,1
B001,2024-01-01,1012,0
B001,2024-01-01,1013,0
B001,2024-01-01,1014,0
B001,2024-01-01,1015,0
B001,2024-01-01,1016,0
B001,2024-01-01,1017,0
B001,2024-01-01,1018,0
B001,2024-01-01,2001,0
B001,2024-01-01,2002,0
B001,2024-01-01,2003,0
B001,2024-01-01,2004,0
B001,2024-01-01,2005,0
B001,2024-01-01,2006,0
B001,2024-01-01,2007,0
B001,2024-01-01,2008,0
B001,2024-01-01,2009,0
B001,2024-01-01,2010,0
B001,2024-01-01,2011,0
B001,2024-01-01,2012,0
B001,2024-01-01,3001,1
B001,2024-01-01,3002,0
B001,2024-01-01,3003,0
B001,2024-01-01,3004,1
B001,2024-01-01,3005,0
B001,2024-01-01,3006,1
B001,2024-01-01,3007,0
B001,2024-01-01,3008,0
B001,2024-01-01,3009,0
B001,2024-01-01,3010,0
B001,2024-01-01,4001,0
B001,2024-01-01,4002,0
B001,2024-01-01,4003,0
B001,2024-01-01,4004,0
B001,2024-01-01,4005,1
B001,2024-01-01,4006,0
B001,2024-01-01,5001,0
B001,2024-01-01,5002,0
B001,2024-01-01,5003,0
B001,2024-01-01,5004,0
B002,2024-01-01,1001,0
B002,2024-01-01,1002,0
B002,2024-01-01,1003,0
B002,2024-01-01,1004,0
B002,2024-01-01,1005,0
B002,2024-01-01,1006,0
B002,2024-01-01,1007,0
B002,2024-01-01,1008,0
B002,2024-01-01,1009,0
B002,2024-01-01,1010,0
B002,2024-01-01,1011,1
B002,2024-01-01,1012,0
B002,2024-01-01,1013,0
B002,2024-01-01,1014,0
B002,2024-01-01,1015,0
B002,2024-01-01,1016,0
B002,2024-01-01,1017,0
B002,2024-01-01,1018,1
B002,2024-01-01,2001,0
B002,2024-01-01,2002,0
B002,2024-01-01,2003,0
B002,2024-01-01,2004,0
B002,2024-01-01,2005,0
B002,2024-01-01,2006,0
B002,2024-01-01,2007,0
B002,2024-01-01,2008,0
B002,2024-01-01,2009,0
B002,2024-01-01,2010,0
B002,2024-01-01,2011,0
B002,2024-01-01,2012,0
B002,2024-01-01,3001,0
B002,2024-01-01,3002,0
B002,2024-01-01,3003,2
B002,2024-01-01,3004,2
B002,2024-01-01,3005,0
B002,2024-01-01,3006,0
B002,2024-01-01,3007,1
B002,2024-01-01,3008,0
B002,2024-01-01,3009,1
B002,2024-01-01,3010,0
B002,2024-01-01,4001,0
B002,2024-01-01,4002,1
B002,2024-01-01,4003,0
B002,2024-01-01,4004,1
B002,2024-01-01,4005,0
B002,2024-01-01,4006,0
B002,2024-01-01,5001,0
B002,2024-01-01,5002,0
B002,2024-01-01,5003,0
B002,2024-01-01,5004,0
B003,2024-01-01,1001,0
B003,2024-01-01,1002,0
B003,2024-01-01,1003,0
B003,2024-01-01,1004,0
B003,2024-01-01,1005,0
B003,2024-01-01,1006,0
B003,2024-01-01,1007,0
B003,2024-01-01,1008,0
B003,2024-01-01,1009,0
B003,2024-01-01,1010,0
B003,2024-01-01,1011,0
B003,2024-01-01,1012,0
B003,2024-01-01,1013,0
B003,2024-01-01,1014,0
B003,2024-01-01,1015,0
B003,2024-01-01,1016,1
B003,2024-01-01,1017,0
B003,2024-01-01,1018,0
B003,2024-01-01,2001,0
B003,2024-01-01,2002,0
B003,2024-01-01,2003,0
B003,2024-01-01,2004,0
B003,2024-01-01,2005,0
B003,2024-01-01,2006,0
B003,2024-01-01,2007,0
B003,2024-01-01,2008,0
B003,2024-01-01,2009,0
B003,2024-01-01,2010,0
B003,2024-01-01,2011,1
B003,2024-01-01,2012,0
B003,2024-01-01,3001,0
B003,2024-01-01,3002,0
B003,2024-01-01,3003,0
B003,2024-01-01,3004,1
B003,2024-01-01,3005,0
B003,2024-01-01,3006,0
B003,2024-01-01,3007,0
B003,2024-01-01,3008,0
B003,2024-01-01,3009,1
B003,2024-01-01,3010,0
B003,2024-01-01,4001,1
B003,2024-01-01,4002,0
B003,2024-01-01,4003,0
B003,2024-01-01,4004,1
B003,2024-01-01,4005,0
B003,2024-01-01,4006,1
B003,2024-01-01,5001,0
B003,2024-01-01,5002,0
B003,2024-01-01,5003,0
B003,2024-01-01,5004,0
B004,2024-01-01,1001,0
B004,2024-01-01,1002,1
